runoff,surface_pressure_hpa,mean_temp_c,max_temp_2m_c,min_temp_2m_c,precipitation_mm,dew_point_c,mean_wind_speed_ms,wind_v_ms,wind_u_ms,solar_net_radiation_j_m2,solar_down_radiation_j_m2
2.375,908.03,14.52,19.43,6.62,0.01,8.98,0.91,0.01,-0.03,15098126.0,16576388.0
2.375,905.34,13.46,18.17,8.0,0.26,10.14,1.16,-0.29,0.15,14150716.0,15539032.0
2.375,905.9,14.84,18.87,8.1,0.04,10.87,1.33,-0.53,0.39,13984660.0,15358790.0
2.34375,904.97,16.77,21.84,12.41,1.01,11.73,1.21,-0.58,-0.06,15559532.0,17088332.0
2.34375,907.39,10.35,13.31,7.43,4.59,9.31,1.41,-1.38,0.11,1497354.0,1643860.0
2.8125,909.77,7.79,9.09,6.12,1.18,5.49,0.92,-0.55,-0.07,2620490.0,2877700.0
2.5625,906.74,8.07,10.35,6.07,2.32,6.01,1.05,-0.88,-0.04,6504238.5,7146278.0
2.46875,909.74,7.72,9.12,6.6,6.74,6.2,1.09,-0.95,0.15,3399378.5,3734829.0
3.25,916.38,7.04,8.39,5.82,2.66,5.04,0.97,-0.89,0.02,3050365.5,3351924.0
3.1875,914.57,7.41,8.93,5.78,5.51,4.98,0.9,-0.55,-0.26,5094526.5,5597930.0
3.625,925.29,5.29,6.68,2.52,10.45,3.97,1.43,-1.4,0.15,3905833.2,4292198.0
5.03125,928.78,4.02,5.89,2.5,1.67,-1.12,1.04,-0.52,-0.17,8324619.0,9235798.0
4.59375,920.52,7.54,12.34,2.56,0.04,2.22,0.96,0.25,-0.42,17915746.0,19844808.0
3.5625,913.67,10.65,15.22,3.26,0.0,6.54,0.97,-0.13,-0.22,18824746.0,20758588.0
2.6875,911.23,12.82,17.09,5.98,1.48,8.6,0.91,0.02,-0.21,15963376.0,17561920.0
2.46875,907.16,14.02,17.44,9.24,0.13,9.59,0.94,-0.19,0.01,10735304.0,11802919.0
2.40625,914.45,10.77,13.69,8.7,3.9,8.56,1.37,-1.12,0.68,2789879.0,3067481.0
2.65625,922.7,8.15,10.4,3.79,2.62,5.28,1.23,-0.35,0.46,4285594.0,4712202.0
2.8125,918.01,12.17,17.24,4.14,0.16,7.05,1.03,-0.15,-0.4,19874458.0,21872850.0
2.53125,919.9,14.28,21.0,8.82,0.0,7.98,1.29,0.76,0.42,19111696.0,21048878.0
2.40625,913.58,16.53,21.74,9.03,0.0,10.93,1.03,0.2,-0.12,20540416.0,22640274.0
2.375,906.7,18.29,23.86,11.49,0.0,13.23,1.0,0.02,-0.03,20348874.0,22445968.0
2.34375,910.22,20.05,25.81,14.74,0.0,14.02,1.25,-0.52,0.02,19463862.0,21485252.0
2.34375,901.17,18.75,24.32,14.79,0.03,12.3,1.44,-0.68,0.45,20667134.0,22831292.0
2.34375,908.26,14.39,19.49,8.91,0.06,5.35,2.16,-2.09,0.35,7416648.0,8197020.0
2.34375,911.0,9.26,12.14,6.96,3.69,6.08,1.24,-1.19,-0.04,6353372.0,7028782.0
2.53125,922.11,6.22,7.82,5.04,7.76,5.32,1.44,-0.75,0.68,3450080.0,3820360.0
3.25,923.68,5.64,8.57,2.56,4.03,3.15,0.86,0.32,0.03,5205518.0,5767446.0
3.375,918.55,7.18,10.02,3.21,5.55,4.19,1.31,-0.48,0.24,11829914.0,13117832.0
3.625,919.06,11.87,16.08,5.0,0.0,5.76,0.87,0.03,0.0,15266300.0,16939452.0
2.8125,913.57,12.39,15.1,9.67,0.33,7.71,0.89,-0.57,0.24,8451328.0,9384156.0
2.4375,912.69,11.78,14.24,10.1,3.77,8.68,0.85,-0.76,0.08,5722834.0,6359262.0
2.53125,912.25,12.08,14.22,10.09,0.55,9.15,0.63,-0.19,-0.22,5524870.0,6143484.0
2.46875,911.14,10.87,13.24,7.75,11.06,8.98,1.54,-1.37,0.25,4262090.0,4743692.0
3.8125,917.94,9.35,11.35,7.61,1.23,5.55,0.81,-0.48,0.23,7259966.0,8086698.0
3.4375,916.85,8.91,11.24,6.59,1.19,5.9,0.67,-0.13,-0.29,6591976.0,7347568.0
2.9375,912.91,10.91,13.55,7.58,7.4,7.53,0.63,-0.26,-0.41,10559224.0,11778472.0
3.625,911.19,12.64,15.53,9.26,0.02,9.65,0.75,0.09,-0.42,11385972.0,12711782.0
2.9375,911.48,13.1,15.21,11.2,5.05,10.65,0.99,-0.57,0.03,6560370.0,7328470.0
2.9375,918.71,11.19,12.99,8.94,4.73,9.04,1.08,-0.85,0.43,5147260.0,5754610.0
3.25,918.53,11.25,14.35,8.12,1.1,8.06,0.91,-0.17,-0.08,8421400.0,9422026.0
2.875,909.47,14.82,19.35,8.7,0.04,10.87,1.15,-0.59,-0.59,22097778.0,24746480.0
2.5625,906.22,13.17,16.2,10.38,1.19,10.84,0.83,-0.44,-0.32,9249710.0,10366226.0
2.4375,906.05,13.66,16.58,10.4,11.62,11.41,0.72,0.04,0.13,6592662.0,7392366.0
3.9375,904.63,15.41,18.48,11.58,0.4,12.55,0.98,-0.24,-0.18,12767654.0,14329702.0
3.40625,912.26,13.55,17.42,9.1,5.01,11.09,1.53,-1.42,-0.05,7804432.0,8766110.0
3.5625,914.15,8.24,10.18,6.3,5.68,6.09,1.4,-1.35,-0.11,3745852.0,4210418.0
4.1875,919.08,6.96,8.2,6.18,9.87,6.24,1.03,-0.7,-0.04,3177182.0,3574704.0
5.78125,918.07,10.32,12.75,6.94,0.25,6.97,0.84,0.01,-0.42,10863740.0,12231348.0
4.875,914.14,12.29,14.81,9.53,0.38,9.11,0.76,-0.39,-0.42,11203994.0,12628598.0
3.875,913.62,12.63,15.17,10.99,1.8,10.32,0.97,-0.26,-0.05,7466906.0,8426384.0
3.40625,909.44,15.97,21.07,10.41,0.0,11.6,0.94,0.01,-0.3,17175556.0,19403960.0
2.75,905.78,15.1,19.18,12.59,2.32,12.62,0.91,-0.33,0.04,8934362.0,10104920.0
2.625,904.78,16.55,19.37,13.74,4.0,13.67,1.02,-0.6,0.05,8992212.0,10182558.0
2.75,913.65,15.03,18.25,10.92,4.88,10.7,1.35,-1.01,0.72,8809160.0,9985590.0
3.03125,921.5,10.16,11.55,8.84,7.09,8.95,1.25,-0.04,0.77,3577886.0,4061528.0
