runoff,surface_pressure_hpa,mean_temp_c,max_temp_2m_c,min_temp_2m_c,precipitation_mm,dew_point_c,mean_wind_speed_ms,wind_v_ms,wind_u_ms,solar_net_radiation_j_m2,solar_down_radiation_j_m2
23.0625,798.68,10.57,19.41,3.78,0.05,2.4,1.1,-0.84,-0.48,17483570.0,19645372.0
21.34375,799.08,13.37,21.56,4.6,0.05,-0.89,1.29,0.02,0.63,18938916.0,21285434.0
20.125,797.4,15.22,24.06,6.37,0.0,-4.94,2.65,2.26,1.28,19687482.0,22131818.0
19.21875,797.87,16.57,22.44,6.98,0.0,-5.46,2.65,1.59,1.76,19976674.0,22462246.0
18.53125,797.46,16.39,23.27,10.74,0.0,-3.91,2.58,1.66,1.82,20118036.0,22626620.0
18.0,795.4,17.75,23.36,12.08,0.01,-1.15,1.95,1.06,1.32,19399398.0,21823914.0
17.5625,796.93,13.19,21.92,6.78,1.84,3.32,1.5,-0.0,0.62,16330942.0,18376276.0
17.21875,794.39,15.56,21.98,7.19,0.01,-1.14,2.54,1.37,1.62,19115014.0,21514224.0
16.96875,795.9,12.8,22.99,2.92,0.66,0.53,2.73,0.16,0.88,19771798.0,22258500.0
16.71875,801.5,7.19,18.14,2.97,0.39,0.7,1.6,-0.83,-1.02,13094077.0,14745610.0
16.5,799.66,10.17,22.08,1.77,0.34,1.78,1.98,-0.46,0.12,15242072.0,17168144.0
16.3125,808.51,2.21,6.9,-1.4,1.31,-2.52,2.47,-1.97,-1.46,9183691.0,10409900.0
16.125,811.72,1.0,4.62,-1.46,0.37,-5.35,1.62,-0.94,-1.24,8830883.0,10550208.0
15.9375,807.23,7.49,15.08,-0.65,1.0,-0.6,1.04,-0.2,-0.05,17084430.0,20021646.0
15.71875,802.71,14.23,22.44,2.13,0.01,0.8,1.47,0.7,0.72,20599734.0,23522980.0
15.5,800.43,14.75,25.1,7.11,0.04,3.04,1.16,-0.44,-0.05,20814198.0,23523274.0
15.25,796.94,16.7,25.18,8.4,0.0,-0.41,2.02,1.07,1.23,20537736.0,23170344.0
15.09375,800.97,12.73,23.47,5.81,0.94,0.97,1.71,-1.04,-0.49,20773372.0,23437076.0
15.0625,808.17,6.6,18.1,1.77,1.19,0.95,1.7,-1.2,-0.86,12544770.0,14156858.0
15.0,806.5,13.33,20.16,2.9,0.02,-1.12,1.55,0.79,0.71,19776422.0,22366550.0
14.875,811.11,11.91,18.1,4.77,0.01,-0.21,1.56,-0.63,-0.69,17346114.0,19586246.0
14.71875,806.35,17.16,24.2,8.76,0.01,-1.12,1.47,0.46,0.7,20793734.0,23478436.0
14.5,800.94,18.84,25.36,10.35,0.0,-4.42,1.97,0.9,1.54,21729782.0,24539166.0
14.3125,803.62,17.51,24.92,10.39,0.29,-4.74,1.54,0.0,-0.88,18053932.0,20392744.0
14.09375,796.61,19.62,27.8,9.74,0.0,-6.24,2.73,2.28,1.06,22728916.0,25676986.0
13.875,796.75,14.41,26.51,4.47,0.24,1.85,1.62,-1.08,-1.11,20724532.0,23417276.0
13.65625,796.98,10.97,24.85,4.03,0.39,2.39,1.9,-0.76,-0.64,17302234.0,19554032.0
13.5,806.29,2.7,6.67,-0.19,1.52,-1.48,2.65,-2.31,-1.27,7178394.0,8117554.0
13.28125,809.61,2.14,4.72,-0.32,2.77,-2.42,1.74,-0.51,-0.58,6035722.0,7367336.0
12.96875,803.93,9.69,21.82,0.59,0.3,0.79,2.39,0.14,0.23,19254930.0,24166758.0
12.6875,806.87,10.55,17.12,2.2,0.2,1.74,1.1,-0.25,-0.8,15948724.0,18396890.0
12.53125,801.63,13.58,20.62,7.73,2.04,6.51,1.49,1.03,0.22,10721500.0,12178712.0
12.34375,800.34,12.4,21.57,6.28,1.68,5.95,1.8,-0.37,0.21,15080542.0,17074914.0
12.21875,800.7,10.96,18.32,6.64,0.33,6.17,1.08,-0.56,-0.4,10430174.0,11804136.0
12.125,798.37,13.65,22.57,4.62,1.45,4.4,3.07,0.47,0.87,20944020.0,23704968.0
12.40625,804.23,4.49,7.61,2.11,4.37,1.52,1.88,-1.28,-1.34,7772620.0,8799422.0
13.46875,803.47,5.83,11.68,2.53,0.9,1.67,1.46,-0.83,-1.09,6871478.0,7781262.0
14.96875,800.61,12.67,22.15,4.6,0.29,5.7,1.97,-0.07,0.64,16982396.0,19233356.0
16.4375,800.73,15.61,23.71,7.02,1.1,7.9,1.13,-0.03,0.38,19970610.0,22619832.0
19.28125,799.66,15.95,25.52,7.27,1.21,7.07,1.96,-0.48,0.32,20918390.0,23698476.0
22.375,805.9,8.47,11.82,5.75,2.19,5.35,1.85,-1.21,-1.38,5707216.0,6467464.0
21.875,806.87,7.84,15.82,3.89,2.42,4.53,1.49,-0.85,-0.41,8714256.0,9877278.0
19.59375,801.17,16.26,23.92,4.57,0.0,-1.91,1.64,1.16,0.93,24594716.0,27878142.0
17.40625,796.21,18.37,27.3,10.7,0.19,4.96,1.87,0.08,0.7,23865272.0,27056628.0
15.65625,795.86,16.72,25.24,10.79,0.57,9.75,1.11,-0.41,-0.39,18476796.0,20952156.0
14.25,795.75,19.88,26.97,11.86,0.09,5.6,1.76,0.07,1.18,21971014.0,24918402.0
13.1875,800.45,16.55,27.93,10.01,1.71,9.04,1.66,-1.09,-0.99,20726652.0,23511990.0
12.40625,799.92,13.71,24.09,5.84,1.03,8.73,1.49,-0.31,-0.68,7510776.0,8522314.0
12.0625,805.48,7.35,11.83,4.6,9.6,3.33,1.83,-1.23,-0.74,13278304.0,15068808.0
12.0625,804.9,13.71,22.99,6.41,0.04,6.25,1.27,-0.25,-0.33,21890532.0,24846182.0
12.15625,802.15,16.43,25.6,10.44,0.05,8.36,1.27,0.04,-0.11,20759162.0,23560384.0
11.9375,801.5,16.14,25.85,7.35,1.19,8.17,1.68,-0.46,-0.3,20647016.0,23432142.0
11.53125,800.77,14.39,21.22,7.27,0.3,8.47,0.95,-0.0,0.14,11818754.0,13410638.0
11.125,796.01,18.26,26.65,11.84,0.38,9.19,1.97,0.35,0.41,19759874.0,22421484.0
11.03125,795.31,18.12,25.58,11.03,0.82,9.14,2.1,0.21,0.63,17476832.0,19828252.0
11.8125,802.39,11.64,18.1,7.1,6.01,8.39,1.86,-1.32,-1.28,6811610.0,7727412.0
14.6875,808.73,4.79,7.0,2.28,9.02,4.15,1.69,-1.32,-0.79,2472508.0,2805494.0
19.96875,804.88,10.72,14.99,3.6,0.16,5.32,1.29,0.79,0.33,8946686.0,10172872.0
26.59375,799.66,14.51,22.89,8.54,1.15,8.15,1.19,-0.27,0.16,15423648.0,17504154.0
31.65625,805.48,8.43,13.09,4.85,7.29,6.26,2.04,-1.75,-0.87,10772374.0,12219368.0
31.0625,808.68,8.26,11.71,2.8,1.94,4.03,1.28,-0.39,0.03,8602420.0,9755164.0
27.4375,804.27,15.22,21.53,5.11,0.01,3.64,1.04,0.15,0.34,23949974.0,27155446.0
23.71875,805.51,12.77,19.08,6.96,0.76,7.04,1.57,-0.12,-0.52,17178246.0,19477396.0
20.65625,803.89,16.71,24.2,8.24,0.02,5.41,1.41,0.31,0.03,25288804.0,28668750.0
18.71875,805.14,16.01,22.29,12.06,18.36,10.45,1.13,-0.44,-0.52,14408472.0,16333592.0
19.34375,805.15,14.65,19.86,10.73,5.68,11.95,1.1,-0.06,-0.45,12231664.0,13865406.0
26.71875,800.62,18.46,24.28,13.28,0.25,11.85,1.95,1.73,0.32,20507950.0,23242822.0
36.78125,795.19,20.6,26.01,14.96,0.59,12.58,2.04,0.81,0.89,18070956.0,20479128.0
41.375,795.27,21.49,28.69,14.9,0.45,12.11,1.2,0.04,0.49,21123356.0,23936904.0
