runoff,surface_pressure_hpa,mean_temp_c,max_temp_2m_c,min_temp_2m_c,precipitation_mm,dew_point_c,mean_wind_speed_ms,wind_v_ms,wind_u_ms,solar_net_radiation_j_m2,solar_down_radiation_j_m2
30.75,784.48,11.38,18.97,-0.23,0.09,0.38,1.07,-0.07,0.83,17227450.0,19669996.0
29.75,781.86,14.17,20.54,5.66,0.18,-2.03,2.02,1.41,1.31,19087248.0,21781336.0
28.78125,782.83,14.31,20.04,8.63,0.09,0.5,1.62,0.81,1.29,19268440.0,21990944.0
28.78125,782.38,15.47,21.18,8.54,0.0,0.14,1.83,0.97,1.49,18946736.0,21630224.0
29.375,780.49,12.72,19.25,8.32,1.11,3.57,1.42,1.25,0.14,15298734.0,17467668.0
30.25,782.12,10.26,16.45,6.29,0.24,4.65,1.24,0.79,0.69,11732562.0,13401358.0
29.96875,779.26,12.28,18.28,6.13,0.11,1.69,1.88,1.16,1.28,15423053.0,17625548.0
28.375,780.89,9.04,18.41,0.08,0.92,0.65,1.94,0.99,0.16,16692492.0,19082132.0
27.125,786.84,1.21,7.77,-1.94,1.5,-1.57,1.41,0.26,-1.25,8316789.5,9890672.0
26.1875,784.88,5.56,15.22,-1.76,1.2,1.23,1.38,0.49,-0.55,13548998.0,16411632.0
25.28125,793.42,-1.67,2.76,-5.23,10.43,-4.17,1.67,-0.39,-1.6,8530913.0,10753538.0
25.4375,796.31,-4.58,-3.28,-5.47,1.08,-6.56,0.99,-0.09,-0.94,3544853.0,11448366.0
24.25,792.3,3.24,8.65,-4.47,2.43,-0.93,0.68,0.05,0.2,8487978.0,19407244.0
24.25,787.94,11.44,19.45,0.44,0.01,3.37,1.32,0.27,1.16,15373125.0,23801672.0
27.90625,785.85,12.24,19.25,6.12,0.73,5.94,0.94,0.29,-0.13,18039920.0,22502464.0
31.75,782.16,13.23,20.23,6.35,0.4,5.07,1.26,0.84,0.28,16688570.0,19501624.0
31.96875,786.6,8.07,14.27,2.92,5.19,3.61,1.28,0.15,-0.9,15943951.0,18368964.0
32.96875,793.38,2.16,7.57,-1.52,8.48,-0.46,1.39,0.04,-0.97,11532354.0,13408118.0
35.71875,791.98,9.69,16.54,-1.54,0.25,1.44,1.33,0.07,1.04,16112652.0,23693234.0
34.78125,796.23,10.06,15.22,4.97,0.01,2.91,1.06,-0.01,-0.17,17898684.0,21830534.0
32.96875,791.67,15.56,21.37,6.64,0.11,1.12,1.14,0.25,1.01,20351980.0,23717452.0
31.15625,786.49,17.4,23.21,10.11,0.17,-1.3,1.49,0.01,1.38,21127302.0,24333558.0
