runoff,surface_pressure_hpa,mean_temp_c,max_temp_2m_c,min_temp_2m_c,precipitation_mm,dew_point_c,mean_wind_speed_ms,wind_v_ms,wind_u_ms,solar_net_radiation_j_m2,solar_down_radiation_j_m2
873.03125,796.36,15.33,20.69,9.79,0.0,-2.7,1.36,0.64,0.64,19267930.0,21986532.0
864.5625,795.61,16.8,22.29,9.27,0.0,-4.59,1.89,1.34,1.25,19599402.0,22373518.0
856.25,796.34,16.81,21.82,11.98,0.0,-5.77,1.98,1.18,1.51,19558970.0,22336154.0
848.125,796.54,17.01,22.27,11.26,0.0,-3.32,1.87,1.2,1.34,19891740.0,22725252.0
840.625,794.21,16.77,22.46,12.16,0.0,-1.01,2.33,1.64,1.53,18907918.0,21609748.0
835.03125,794.83,16.08,20.61,11.85,0.61,0.21,1.85,1.03,1.32,16263422.0,18594128.0
837.25,793.49,16.18,21.27,11.56,0.01,-1.29,2.34,1.31,1.77,17885470.0,20457622.0
842.6875,793.47,16.91,22.78,11.84,0.01,0.56,2.33,1.55,1.56,18943730.0,21676376.0
847.34375,796.1,17.14,22.04,11.94,0.19,1.93,2.18,1.5,1.38,17601288.0,20148058.0
849.90625,795.9,17.85,23.0,12.77,0.32,1.81,2.52,1.49,1.9,15460544.0,17704956.0
853.71875,799.79,14.57,22.1,4.57,0.05,0.57,2.09,0.19,0.15,14201305.0,16268528.0
861.28125,804.47,10.07,15.4,4.34,0.2,-1.71,1.23,-0.28,-0.98,14826243.0,16991416.0
866.65625,802.19,13.33,18.8,5.32,0.01,0.7,1.04,0.44,0.16,16036750.0,18386576.0
862.21875,799.89,17.25,21.82,8.67,0.0,-0.11,1.26,0.67,0.64,20191872.0,23159624.0
852.125,797.36,19.02,24.67,12.75,0.0,-2.95,1.79,1.14,1.24,20879178.0,23957556.0
842.9375,795.42,18.5,24.46,13.39,0.0,-4.98,2.24,1.47,1.58,21045968.0,24158472.0
839.65625,796.55,18.24,23.95,11.74,0.0,-6.66,1.86,1.15,1.22,21562612.0,24761424.0
838.46875,800.75,16.11,23.17,6.11,0.03,-3.33,1.56,0.06,-0.14,20652836.0,23725790.0
838.5625,803.08,15.31,20.12,6.24,0.03,-0.74,0.91,0.16,0.2,20159114.0,23160718.0
838.59375,805.95,17.12,22.41,11.67,0.05,-1.15,1.01,-0.12,-0.36,20729894.0,23818044.0
834.25,803.43,18.46,23.42,11.49,0.01,-0.34,1.13,0.41,0.41,20596978.0,23667156.0
825.0,798.59,19.58,24.52,13.04,0.0,-5.64,1.46,0.66,1.0,21194464.0,24355382.0
814.78125,799.58,19.64,25.41,12.93,0.02,-7.1,0.94,-0.05,-0.24,21696846.0,24934536.0
805.15625,794.94,21.61,27.24,12.62,0.0,-6.8,1.92,1.4,1.16,22437718.0,25787820.0
794.90625,792.74,21.28,27.29,16.57,0.0,-1.9,2.21,1.35,1.65,20763692.0,23865556.0
790.59375,792.61,20.6,25.28,16.21,0.0,2.68,2.42,1.45,1.88,16016708.0,18410954.0
796.5,797.59,15.32,23.8,5.49,0.14,1.27,2.32,0.12,-0.06,12259586.0,14092994.0
